Date,Sales,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Receivables,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr,Close,High,Low,Open,Volume,Ticker
2022-02-01,67204.00923076922,31044.36846153846,6280.8115384615385,3177.709230769231,5519.338461538461,5.593846153846154,552.8423076923077,9574.715384615383,11053.927692307692,2885.959230769231,4543.491538461539,61.21076923076923,79.57,39487.72230769231,156145.59076923077,129459.01923076925,325171.90230769233,3523.5061538461537,115.2776923076923,118365.51538461538,203167.60307692306,325171.90230769233,2966.0807692307694,4250.331538461538,159137290.0,5.0,-27790.39153846154,656.3176923076926,27612.096923076922,478.0230769230766,1592.3284615384614,159.15,1598.82666015625,1672.4598190765437,1517.6948805948336,1580.4945181984456,61940150.0,BAJAJFINSV.NS
2022-03-01,67805.14461538462,31371.36923076923,6424.120769230769,3250.0546153846153,5438.59923076923,6.726923076923076,557.7861538461539,9602.087692307692,11162.253846153846,2921.5046153846156,4550.13076923077,62.43538461538461,79.57,39827.47615384616,158662.38538461537,130723.12461538463,329292.55615384615,3554.543076923077,114.04384615384616,118793.7976923077,206830.17153846152,329292.55615384615,2985.4453846153847,4326.680769230769,159137290.0,5.0,-30730.190769230765,1050.873846153847,29968.928461538464,289.6115384615382,1649.1892307692308,159.15,1703.457763671875,1727.37639115161,1377.8971844834684,1598.8266425710556,64277990.0,BAJAJFINSV.NS
2022-04-01,69457.46615384615,31928.70923076923,6737.282307692308,3439.7753846153846,5244.723076923076,7.367692307692308,571.5815384615385,9841.06,11696.776153846155,3083.5530769230772,4699.886153846154,68.56384615384616,85.69999999999999,40634.987692307695,165108.85615384614,133121.2,338950.74384615384,3643.3053846153844,118.84538461538462,120526.20692307693,214662.38615384614,338950.74384615384,3039.72,4477.967692307692,269420226.15384614,4.6923076923076925,-34116.87846153846,261.53461538461556,33763.47538461538,-91.86846153846152,1672.2384615384615,159.16,1488.8536376953125,1745.3490681374883,1463.8415785540274,1700.4173129508824,48018330.0,BAJAJFINSV.NS
2022-05-01,70508.6523076923,32159.04846153846,6907.134615384615,3557.150769230769,5131.586153846153,6.875384615384616,580.4330769230769,10052.66,12122.972307692307,3210.056153846154,4843.002307692308,73.4676923076923,91.83,41102.74538461539,169038.5323076923,134255.17,344488.2776923077,3701.0307692307692,124.88076923076923,121830.33384615385,218832.0323076923,344488.2776923077,3074.63,4552.905384615385,379703162.3076923,4.384615384615385,-34563.766923076924,-922.3607692307689,35201.190769230765,-284.93692307692305,1638.426923076923,159.17000000000002,1291.4384765625,1503.5912163172914,1204.3956358884734,1459.0688748591292,67891790.0,BAJAJFINSV.NS
2022-06-01,71559.83846153846,32389.38769230769,7076.986923076924,3674.5261538461536,5018.449230769231,6.383076923076923,589.2846153846153,10264.259999999998,12549.168461538462,3336.559230769231,4986.118461538462,78.37153846153846,97.96,41570.50307692308,172968.20846153845,135389.14,350025.81153846154,3758.7561538461537,130.91615384615386,123134.46076923078,223001.67846153845,350025.81153846154,3109.54,4627.843076923077,489986098.4615385,4.076923076923077,-35010.655384615384,-2106.256153846153,36638.906153846154,-478.00538461538457,1604.6153846153845,159.18,1091.5172119140625,1319.9951423125326,1089.2456376514265,1293.9347482218268,71063150.0,BAJAJFINSV.NS
2022-07-01,72611.02461538461,32619.726923076923,7246.839230769231,3791.9015384615386,4905.3123076923075,5.890769230769231,598.1361538461539,10475.859999999999,12975.364615384617,3463.062307692308,5129.234615384616,83.27538461538461,104.08999999999999,42038.26076923077,176897.88461538462,136523.11000000002,355563.3453846154,3816.4815384615385,136.95153846153846,124438.5876923077,227171.32461538463,355563.3453846154,3144.45,4702.780769230769,600269034.6153846,3.769230769230769,-35457.54384615384,-3290.1515384615377,38076.621538461535,-671.073846153846,1570.803846153846,159.19,1503.0191650390625,1520.5637857061774,1071.478949615405,1090.7366740017883,93794930.0,BAJAJFINSV.NS
2022-08-01,73662.21076923076,32850.06615384615,7416.691538461539,3909.276923076923,4792.175384615384,5.398461538461539,606.9876923076923,10687.46,13401.56076923077,3589.5653846153846,5272.350769230769,88.17923076923077,110.22,42506.018461538464,180827.56076923077,137657.08000000002,361100.87923076923,3874.206923076923,142.9869230769231,125742.71461538463,231340.97076923077,361100.87923076923,3179.36,4777.718461538461,710551970.7692308,3.4615384615384617,-35904.4323076923,-4474.046923076922,39514.336923076924,-864.1423076923076,1536.9923076923076,159.20000000000002,1694.252685546875,1712.1669958201642,1484.41576222207,1518.2365763703044,80385360.0,BAJAJFINSV.NS
2022-09-01,74713.39692307691,33080.405384615384,7586.543846153846,4026.6523076923077,4679.038461538461,4.906153846153846,615.8392307692308,10899.06,13827.756923076924,3716.0684615384616,5415.466923076923,93.08307692307693,116.35,42973.77615384616,184757.2369230769,138791.05000000002,366638.4130769231,3931.932307692308,149.0223076923077,127046.84153846154,235510.61692307692,366638.4130769231,3214.27,4852.656153846154,820834906.923077,3.1538461538461537,-36351.32076923077,-5657.942307692307,40952.052307692305,-1057.210769230769,1503.180769230769,159.21,1676.4083251953125,1841.8667123231776,1619.124696678889,1679.0552838477558,91462720.0,BAJAJFINSV.NS
2022-10-01,75764.58307692308,33310.74461538462,7756.3961538461535,4144.027692307693,4565.901538461539,4.413846153846154,624.6907692307692,11110.66,14253.953076923077,3842.5715384615387,5558.583076923077,97.98692307692308,122.47999999999999,43441.53384615385,188686.91307692308,139925.02,372175.94692307693,3989.6576923076923,155.05769230769232,128350.96846153846,239680.2630769231,372175.94692307693,3249.18,4927.593846153846,931117843.0769231,2.846153846153846,-36798.20923076923,-6841.83769230769,42389.767692307694,-1250.2792307692305,1469.3692307692309,159.22,1685.5478515625,1738.3866797098938,1619.1247806712963,1684.0495868055557,30627921.0,BAJAJFINSV.NS
2022-11-01,76815.76923076923,33541.083846153844,7926.248461538462,4261.403076923077,4452.764615384615,3.9215384615384616,633.5423076923076,11322.26,14680.149230769232,3969.0746153846158,5701.699230769231,102.89076923076922,128.60999999999999,43909.29153846154,192616.58923076923,141058.99,377713.4807692308,4047.383076923077,161.09307692307692,129655.09538461539,243849.90923076923,377713.4807692308,3284.09,5002.531538461539,1041400779.2307693,2.5384615384615383,-37245.09769230769,-8025.733076923076,43827.483076923076,-1443.3476923076921,1435.5576923076924,159.23,1624.6182861328125,1815.796877973792,1618.1258060468222,1690.0425085377922,43858362.0,BAJAJFINSV.NS
